Choosing point 0 as the root ...
Point 1 has a distance 756 to the tree, parent 0;
Point 2 has a distance 893 to the tree, parent 0;
Point 3 has a distance 495 to the tree, parent 0;
Point 4 has a distance 649 to the tree, parent 0;
Point 5 has a distance 964 to the tree, parent 0;
Point 6 has a distance 1669 to the tree, parent 0;
Point 7 has a distance 352 to the tree, parent 0;
Point 8 has a distance 740 to the tree, parent 0;
Point 9 has a distance 858 to the tree, parent 0;
Point 10 has a distance 1011 to the tree, parent 0;
Point 11 has a distance 695 to the tree, parent 0;
Point 12 has a distance 834 to the tree, parent 0;
Point 13 has a distance 1254 to the tree, parent 0;
Point 14 has a distance 489 to the tree, parent 0;
Point 15 has a distance 623 to the tree, parent 0;
Point 16 has a distance 376 to the tree, parent 0;
Point 17 has a distance 863 to the tree, parent 0;
Point 18 has a distance 478 to the tree, parent 0;
Point 19 has a distance 1078 to the tree, parent 0;
Point 20 has a distance 158 to the tree, parent 0;
Point 21 has a distance 1241 to the tree, parent 0;
Point 22 has a distance 922 to the tree, parent 0;
Point 23 has a distance 292 to the tree, parent 0;
Point 24 has a distance 1143 to the tree, parent 0;
Point 25 has a distance 1072 to the tree, parent 0;
Point 26 has a distance 1095 to the tree, parent 0;
Point 27 has a distance 217 to the tree, parent 0;
Point 28 has a distance 1232 to the tree, parent 0;
Point 29 has a distance 964 to the tree, parent 0;
Point 30 has a distance 782 to the tree, parent 0;
Point 31 has a distance 1146 to the tree, parent 0;
Point 32 has a distance 691 to the tree, parent 0;
Point 33 has a distance 831 to the tree, parent 0;
Point 34 has a distance 611 to the tree, parent 0;
Point 35 has a distance 503 to the tree, parent 0;
Point 36 has a distance 887 to the tree, parent 0;
Point 37 has a distance 1385 to the tree, parent 0;
Point 38 has a distance 785 to the tree, parent 0;
Point 39 has a distance 1408 to the tree, parent 0;
Point 40 has a distance 395 to the tree, parent 0;
Point 41 has a distance 434 to the tree, parent 0;
Point 42 has a distance 872 to the tree, parent 0;
Point 43 has a distance 412 to the tree, parent 0;
Point 44 has a distance 751 to the tree, parent 0;
Point 45 has a distance 1069 to the tree, parent 0;
Point 46 has a distance 1590 to the tree, parent 0;
Point 47 has a distance 785 to the tree, parent 0;
Point 48 has a distance 467 to the tree, parent 0;
Point 49 has a distance 510 to the tree, parent 0;
Point 50 has a distance 566 to the tree, parent 0;
Point 51 has a distance 1092 to the tree, parent 0;
Point 52 has a distance 799 to the tree, parent 0;
Point 53 has a distance 889 to the tree, parent 0;
Point 54 has a distance 780 to the tree, parent 0;
Point 55 has a distance 1045 to the tree, parent 0;
Point 56 has a distance 402 to the tree, parent 0;
Point 57 has a distance 1098 to the tree, parent 0;
Point 58 has a distance 118 to the tree, parent 0;
Point 59 has a distance 477 to the tree, parent 0;
Point 60 has a distance 178 to the tree, parent 0;
Point 61 has a distance 1182 to the tree, parent 0;
Point 62 has a distance 1152 to the tree, parent 0;
Point 63 has a distance 969 to the tree, parent 0;
Point 64 has a distance 657 to the tree, parent 0;
Point 65 has a distance 418 to the tree, parent 0;
Point 66 has a distance 1020 to the tree, parent 0;
Point 67 has a distance 749 to the tree, parent 0;
Point 68 has a distance 1139 to the tree, parent 0;
Point 69 has a distance 519 to the tree, parent 0;
Point 70 has a distance 1046 to the tree, parent 0;
Point 71 has a distance 777 to the tree, parent 0;
Point 72 has a distance 319 to the tree, parent 0;
Point 73 has a distance 1349 to the tree, parent 0;
Point 74 has a distance 321 to the tree, parent 0;
Point 75 has a distance 196 to the tree, parent 0;
Point 76 has a distance 560 to the tree, parent 0;
Point 77 has a distance 872 to the tree, parent 0;
Point 78 has a distance 1613 to the tree, parent 0;
Point 79 has a distance 687 to the tree, parent 0;
Point 80 has a distance 649 to the tree, parent 0;
Point 81 has a distance 738 to the tree, parent 0;
Point 82 has a distance 674 to the tree, parent 0;
Point 83 has a distance 828 to the tree, parent 0;
Point 84 has a distance 1101 to the tree, parent 0;
Point 85 has a distance 666 to the tree, parent 0;
Point 86 has a distance 1158 to the tree, parent 0;
Point 87 has a distance 1220 to the tree, parent 0;
Point 88 has a distance 493 to the tree, parent 0;
