Choosing point 0 as the root ...
Point 1 has a distance 94 to the tree, parent 0;
Point 2 has a distance 114 to the tree, parent 0;
Point 3 has a distance 86 to the tree, parent 0;
Point 4 has a distance 64 to the tree, parent 0;
Point 5 has a distance 76 to the tree, parent 0;
Point 6 has a distance 133 to the tree, parent 0;
Point 7 has a distance 20 to the tree, parent 0;
Point 8 has a distance 88 to the tree, parent 0;
Point 9 has a distance 102 to the tree, parent 0;
Point 10 has a distance 58 to the tree, parent 0;
Point 11 has a distance 88 to the tree, parent 0;
Point 12 has a distance 72 to the tree, parent 0;
Point 13 has a distance 136 to the tree, parent 0;
Point 14 has a distance 128 to the tree, parent 0;
Point 15 has a distance 113 to the tree, parent 0;
Point 16 has a distance 118 to the tree, parent 0;
Point 17 has a distance 87 to the tree, parent 0;
Point 18 has a distance 20 to the tree, parent 0;
Point 19 has a distance 22 to the tree, parent 0;
Point 20 has a distance 24 to the tree, parent 0;
Point 21 has a distance 28 to the tree, parent 0;
Point 22 has a distance 74 to the tree, parent 0;
Point 23 has a distance 46 to the tree, parent 0;
Point 24 has a distance 88 to the tree, parent 0;
Point 25 has a distance 50 to the tree, parent 0;
Point 26 has a distance 115 to the tree, parent 0;
Point 27 has a distance 35 to the tree, parent 0;
Point 28 has a distance 46 to the tree, parent 0;
Point 29 has a distance 139 to the tree, parent 0;
Point 30 has a distance 26 to the tree, parent 0;
Point 31 has a distance 127 to the tree, parent 0;
Point 32 has a distance 117 to the tree, parent 0;
Point 33 has a distance 8 to the tree, parent 0;
Point 34 has a distance 76 to the tree, parent 0;
Point 35 has a distance 80 to the tree, parent 0;
Point 36 has a distance 46 to the tree, parent 0;
Point 37 has a distance 55 to the tree, parent 0;
Point 38 has a distance 42 to the tree, parent 0;
Point 39 has a distance 56 to the tree, parent 0;
Point 40 has a distance 90 to the tree, parent 0;
Point 41 has a distance 76 to the tree, parent 0;
Point 42 has a distance 66 to the tree, parent 0;
Point 43 has a distance 37 to the tree, parent 0;
Point 44 has a distance 68 to the tree, parent 0;
Point 45 has a distance 74 to the tree, parent 0;
Point 46 has a distance 52 to the tree, parent 0;
Point 47 has a distance 27 to the tree, parent 0;
Point 48 has a distance 108 to the tree, parent 0;
